,modtheta,flipped,model,lower,median,upper
134,140.0,flipped,th,26.0569808063,25.0768002508,24.0738623234
135,140.0,same,bq,22.7934030231,22.3755169803,21.9274345945
136,140.0,same,bqp,22.4506410177,22.0135560704,21.5221578221
137,140.0,same,exp,2307.19542773,2230.81473593,2145.74709153
138,140.0,same,expA,2381.09264959,2272.52251567,2144.76861444
139,140.0,same,expB,2296.14849439,2188.49566493,2056.2252848
140,140.0,same,gs,722.0,722.0,722.0
141,140.0,same,hc,17.6250096018,17.2018151171,16.7781496289
142,140.0,same,oc,30.4357564677,30.2522424165,30.0757668437
143,140.0,same,th,25.8409968377,25.0536845566,24.1965663267
144,160.0,flipped,bq,22.6940312587,22.2380142085,21.7421876379
145,160.0,flipped,bqp,23.6711326393,23.1989597453,22.7367060575
146,160.0,flipped,exp,2418.95242368,2355.86011154,2288.27993632
147,160.0,flipped,expA,2479.21681541,2368.5806536,2225.75634551
148,160.0,flipped,expB,2420.20817489,2349.23019135,2280.94047793
149,160.0,flipped,gs,722.0,722.0,722.0
150,160.0,flipped,hc,15.4509204408,15.1520715372,14.858862974
151,160.0,flipped,oc,34.9298454544,34.7318903025,34.5306030754
152,160.0,flipped,th,21.6722410174,20.9022936048,20.2266095574
153,160.0,same,bq,23.5587480867,23.0540238575,22.6301335824
154,160.0,same,bqp,22.5029229361,21.9765476154,21.4457195298
155,160.0,same,exp,2379.67620425,2320.81799538,2258.54405139
156,160.0,same,expA,2464.61504734,2370.31369066,2270.16914251
157,160.0,same,expB,2343.87546349,2275.27294644,2208.28062153
158,160.0,same,gs,722.0,722.0,722.0
159,160.0,same,hc,15.6209257678,15.3536250257,15.0627478265
160,160.0,same,oc,34.8239845255,34.6267790669,34.439167041
161,160.0,same,th,22.9832146857,22.2049912181,21.4485178476
162,180.0,flipped,bq,23.7157978095,23.2105596546,22.7472463821
163,180.0,flipped,bqp,24.2421294789,23.7397619912,23.2361524754
164,180.0,flipped,exp,2441.98544398,2385.60838423,2331.85155284
165,180.0,flipped,expA,2539.4690196,2462.0252848,2392.44920877
166,180.0,flipped,expB,2397.60659208,2318.8531509,2242.61255573
167,180.0,flipped,gs,722.0,722.0,722.0
168,180.0,flipped,hc,11.9535955722,11.6799501197,11.3974124945
169,180.0,flipped,oc,39.2813875863,39.0778541555,38.8678488922
170,180.0,flipped,th,21.7289995756,21.031723953,20.3817048951
171,180.0,same,bq,23.2300609645,22.7792690349,22.3082292563
172,180.0,same,bqp,22.6350906984,22.191775478,21.7568003612
173,180.0,same,exp,2363.73709611,2288.07671154,2195.16519618
174,180.0,same,expA,2448.01894949,2327.16761622,2175.88454528
175,180.0,same,expB,2343.63145908,2258.25225757,2180.08180495
176,180.0,same,gs,722.0,722.0,722.0
177,180.0,same,hc,11.9527993403,11.6453083428,11.3713817597
178,180.0,same,oc,39.4513568585,39.2438812858,39.038186828
179,180.0,same,th,23.4612817515,22.763041682,22.0758578355
