,stimulus,modtheta,flipped,model,lower,median,upper
142,0,160.0,flipped,bq,24.5030268294,22.4104056404,20.702832401
143,0,160.0,flipped,bqp,25.9171848472,23.6186022351,21.6924401091
144,0,160.0,flipped,exp,2889.46793648,2668.22097814,2456.6500947
145,0,160.0,flipped,expA,3012.91661346,2638.23759287,2315.09701371
146,0,160.0,flipped,expB,2974.23625549,2695.0866768,2431.10319609
147,0,160.0,flipped,gs,722.0,722.0,722.0
148,0,160.0,flipped,hc,15.044846964,14.4389189025,13.8258952166
149,0,160.0,flipped,oc,35.4847067683,34.5918356346,33.6198169835
150,0,160.0,flipped,th,15.1001429109,13.5193964712,12.0901019347
151,0,160.0,same,bq,23.6509655334,21.5247739553,19.8216838267
152,0,160.0,same,bqp,24.9435754187,22.6031064858,20.6396223086
153,0,160.0,same,exp,2754.63932561,2457.77038195,2154.98887352
154,0,160.0,same,expA,2836.02930217,2333.66819182,1865.40878096
155,0,160.0,same,expB,2915.64228371,2552.72183066,2278.79373895
156,0,160.0,same,gs,722.0,722.0,722.0
157,0,160.0,same,hc,15.4380968654,14.8842374812,14.3338397611
158,0,160.0,same,oc,34.6661085749,33.784436902,33.0038943137
159,0,160.0,same,th,20.1011149359,17.6955549364,15.7070893686
160,0,180.0,flipped,bq,26.9468436779,24.4141691057,22.4971168977
161,0,180.0,flipped,bqp,28.7029510138,26.073594228,23.9025705812
162,0,180.0,flipped,exp,2886.58987735,2609.50596827,2391.47353751
163,0,180.0,flipped,expA,2741.6348385,2402.59817833,2112.05759524
164,0,180.0,flipped,expB,3195.99779722,2837.0714801,2536.14675948
165,0,180.0,flipped,gs,722.0,722.0,722.0
166,0,180.0,flipped,hc,8.53368995045,8.33509988138,8.12654841786
167,0,180.0,flipped,oc,39.8281915964,38.8677664116,37.9134628305
168,0,180.0,flipped,th,15.7283078204,13.9826192639,12.5618080048
169,0,180.0,same,bq,24.4696800181,22.4700910956,20.5971604026
