,stimulus,modtheta,flipped,model,lower,median,upper
40,0,40.0,flipped,expB,84.8467436972,93.6967067436,98.2813350929
41,0,40.0,flipped,gs,33.3178245599,90.4474181962,99.978309153
42,0,40.0,flipped,hc,97.5254729985,99.7733570771,99.9995101927
43,0,40.0,flipped,oc,97.5254729985,99.7733570771,99.9995101927
44,0,40.0,flipped,th,97.5254729985,99.7733570771,99.9995101927
45,0,40.0,same,bq,95.4221103399,98.8210438312,99.8918898291
46,0,40.0,same,bqp,97.5254729985,99.7733570771,99.9995101927
47,0,40.0,same,exp,89.3899926117,94.8467979494,98.0668188014
48,0,40.0,same,expA,87.7821064413,95.6778159092,99.1595964861
49,0,40.0,same,expB,84.8467436972,93.6967067436,98.2813350929
50,0,40.0,same,gs,33.3178245599,90.4474181962,99.978309153
51,0,40.0,same,hc,97.5254729985,99.7733570771,99.9995101927
52,0,40.0,same,oc,97.5254729985,99.7733570771,99.9995101927
53,0,40.0,same,th,97.5254729985,99.7733570771,99.9995101927
54,0,60.0,flipped,bq,93.7394151215,97.8316048393,99.5821187553
55,0,60.0,flipped,bqp,90.7710357959,95.8425573119,98.635015299
56,0,60.0,flipped,exp,88.0525301057,93.8507433821,97.4570735394
57,0,60.0,flipped,expA,84.8467436972,93.6967067436,98.2813350929
58,0,60.0,flipped,expB,84.8467436972,93.6967067436,98.2813350929
59,0,60.0,flipped,gs,33.3178245599,90.4474181962,99.978309153
60,0,60.0,flipped,hc,23.4703363129,32.0601594579,41.5546579597
61,0,60.0,flipped,oc,97.5254729985,99.7733570771,99.9995101927
62,0,60.0,flipped,th,97.5254729985,99.7733570771,99.9995101927
63,0,60.0,same,bq,93.7394151215,97.8316048393,99.5821187553
64,0,60.0,same,bqp,95.4221103399,98.8210438312,99.8918898291
65,0,60.0,same,exp,85.473251581,91.8581804515,96.1450597511
66,0,60.0,same,expA,82.0933850382,91.7129443889,97.2392909008
67,0,60.0,same,expB,82.0933850382,91.7129443889,97.2392909008
68,0,60.0,same,gs,33.3178245599,90.4474181962,99.978309153
69,0,60.0,same,hc,18.1723403459,26.0802687048,35.193932419
70,0,60.0,same,oc,97.5254729985,99.7733570771,99.9995101927
71,0,60.0,same,th,97.5254729985,99.7733570771,99.9995101927
72,0,80.0,flipped,bq,89.3899926117,94.8467979494,98.0668188014
73,0,80.0,flipped,bqp,88.0525301057,93.8507433821,97.4570735394
74,0,80.0,flipped,exp,79.3846418709,86.8757321799,92.5126026713
75,0,80.0,flipped,expA,69.7195221807,81.7844955477,90.7023890011
76,0,80.0,flipped,expB,82.0933850382,91.7129443889,97.2392909008
77,0,80.0,flipped,gs,33.3178245599,90.4474181962,99.978309153
78,0,80.0,flipped,hc,0.85202831074,3.16225339682,7.78875694264
79,0,80.0,flipped,oc,97.5254729985,99.7733570771,99.9995101927
80,0,80.0,flipped,th,97.5254729985,99.7733570771,99.9995101927
81,0,80.0,same,bq,92.2112430574,96.8377466032,99.1479716893
82,0,80.0,same,bqp,93.7394151215,97.8316048393,99.5821187553
83,0,80.0,same,exp,84.0677072769,90.7697770492,95.4060831732
84,0,80.0,same,expA,76.4920770231,87.4941157217,94.7236184634
85,0,80.0,same,expB,84.8467436972,93.6967067436,98.2813350929
86,0,80.0,same,gs,33.3178245599,90.4474181962,99.978309153
87,0,80.0,same,hc,0.00048980731044,0.226642922853,2.47452700153
88,0,80.0,same,oc,97.5254729985,99.7733570771,99.9995101927
89,0,80.0,same,th,97.5254729985,99.7733570771,99.9995101927
90,0,100.0,flipped,bq,90.7710357959,95.8425573119,98.635015299
91,0,100.0,flipped,bqp,86.7490776035,92.8545165203,96.8145040931
92,0,100.0,flipped,exp,82.9876070348,89.8653094068,94.7415324709
93,0,100.0,flipped,expA,72.0673669519,83.7706865018,92.1332515998
94,0,100.0,flipped,expB,87.7821064413,95.6778159092,99.1595964861
95,0,100.0,flipped,gs,33.3178245599,90.4474181962,99.978309153
96,0,100.0,flipped,hc,0.00048980731044,0.226642922853,2.47452700153
97,0,100.0,flipped,oc,97.5254729985,99.7733570771,99.9995101927
98,0,100.0,flipped,th,97.5254729985,99.7733570771,99.9995101927
99,0,100.0,same,bq,93.7394151215,97.8316048393,99.5821187553
100,0,100.0,same,bqp,97.5254729985,99.7733570771,99.9995101927
101,0,100.0,same,exp,82.9876070348,89.8653094068,94.7415324709
102,0,100.0,same,expA,74.4674971844,85.7567318344,93.5128298849
103,0,100.0,same,expB,84.8467436972,93.6967067436,98.2813350929
104,0,100.0,same,gs,33.3178245599,90.4474181962,99.978309153
105,0,100.0,same,hc,0.417881244747,2.16839516065,6.26058487848
106,0,100.0,same,oc,97.5254729985,99.7733570771,99.9995101927
107,0,100.0,same,th,97.5254729985,99.7733570771,99.9995101927
108,0,120.0,flipped,bq,92.2112430574,96.8377466032,99.1479716893
109,0,120.0,flipped,bqp,90.7710357959,95.8425573119,98.635015299
110,0,120.0,flipped,exp,80.3843247638,87.7501930912,93.199768169
111,0,120.0,flipped,expA,79.0736103922,89.5198463629,95.998307917
112,0,120.0,flipped,expB,74.4674971844,85.7567318344,93.5128298849
113,0,120.0,flipped,gs,33.3178245599,90.4474181962,99.978309153
114,0,120.0,flipped,hc,79.3846418709,86.8757321799,92.5126026713
115,0,120.0,flipped,oc,97.5254729985,99.7733570771,99.9995101927
116,0,120.0,flipped,th,97.5254729985,99.7733570771,99.9995101927
117,0,120.0,same,bq,90.7710357959,95.8425573119,98.635015299
118,0,120.0,same,bqp,95.4221103399,98.8210438312,99.8918898291
119,0,120.0,same,exp,79.3846418709,86.8757321799,92.5126026713
120,0,120.0,same,expA,74.4674971844,85.7567318344,93.5128298849
121,0,120.0,same,expB,76.9289485763,87.7425603563,94.832577549
122,0,120.0,same,gs,33.3178245599,90.4474181962,99.978309153
123,0,120.0,same,hc,72.4902683359,80.896163519,87.7460372877
124,0,120.0,same,oc,97.5254729985,99.7733570771,99.9995101927
125,0,120.0,same,th,97.5254729985,99.7733570771,99.9995101927
126,0,140.0,flipped,bq,86.7490776035,92.8545165203,96.8145040931
127,0,140.0,flipped,bqp,88.0525301057,93.8507433821,97.4570735394
128,0,140.0,flipped,exp,80.3843247638,87.7501930912,93.199768169
129,0,140.0,flipped,expA,79.4645171977,89.7280462386,96.0805635606
130,0,140.0,flipped,expB,73.9864484929,85.4680355614,93.3754269294
131,0,140.0,flipped,gs,33.3178245599,90.4474181962,99.978309153
132,0,140.0,flipped,hc,97.5254729985,99.7733570771,99.9995101927
133,0,140.0,flipped,oc,97.5254729985,99.7733570771,99.9995101927
134,0,140.0,flipped,th,97.5254729985,99.7733570771,99.9995101927
135,0,140.0,same,bq,90.7710357959,95.8425573119,98.635015299
136,0,140.0,same,bqp,95.4221103399,98.8210438312,99.8918898291
137,0,140.0,same,exp,82.9876070348,89.8653094068,94.7415324709
138,0,140.0,same,expA,79.4645171977,89.7280462386,96.0805635606
139,0,140.0,same,expB,79.4645171977,89.7280462386,96.0805635606
140,0,140.0,same,gs,33.3178245599,90.4474181962,99.978309153
141,0,140.0,same,hc,97.5254729985,99.7733570771,99.9995101927
142,0,140.0,same,oc,97.5254729985,99.7733570771,99.9995101927
143,0,140.0,same,th,97.5254729985,99.7733570771,99.9995101927
144,0,160.0,flipped,bq,89.3899926117,94.8467979494,98.0668188014
145,0,160.0,flipped,bqp,85.473251581,91.8581804515,96.1450597511
146,0,160.0,flipped,exp,82.9876070348,89.8653094068,94.7415324709
147,0,160.0,flipped,expA,79.4645171977,89.7280462386,96.0805635606
148,0,160.0,flipped,expB,79.4645171977,89.7280462386,96.0805635606
149,0,160.0,flipped,gs,33.3178245599,90.4474181962,99.978309153
150,0,160.0,flipped,hc,97.5254729985,99.7733570771,99.9995101927
151,0,160.0,flipped,oc,97.5254729985,99.7733570771,99.9995101927
152,0,160.0,flipped,th,97.5254729985,99.7733570771,99.9995101927
153,0,160.0,same,bq,97.5254729985,99.7733570771,99.9995101927
154,0,160.0,same,bqp,92.2112430574,96.8377466032,99.1479716893
155,0,160.0,same,exp,60.5453493369,69.9331432334,78.3158571381
156,0,160.0,same,expA,56.4472092298,69.8659202661,81.3122867464
157,0,160.0,same,expB,56.4472092298,69.8659202661,81.3122867464
158,0,160.0,same,gs,33.3178245599,90.4474181962,99.978309153
159,0,160.0,same,hc,97.5254729985,99.7733570771,99.9995101927
160,0,160.0,same,oc,97.5254729985,99.7733570771,99.9995101927
161,0,160.0,same,th,97.5254729985,99.7733570771,99.9995101927
162,0,180.0,flipped,bq,86.7490776035,92.8545165203,96.8145040931
163,0,180.0,flipped,bqp,85.473251581,91.8581804515,96.1450597511
164,0,180.0,flipped,exp,79.3846418709,86.8757321799,92.5126026713
165,0,180.0,flipped,expA,69.7195221807,81.7844955477,90.7023890011
166,0,180.0,flipped,expB,82.0933850382,91.7129443889,97.2392909008
167,0,180.0,flipped,gs,33.3178245599,90.4474181962,99.978309153
168,0,180.0,flipped,hc,97.5254729985,99.7733570771,99.9995101927
