model,trial,lower,median,upper
exp,43,2268.56545775,2442.00439639,2629.05233716
exp,44,2169.63243706,2316.90651287,2489.20164588
exp,45,2151.42176874,2295.09563819,2447.57538259
exp,46,2109.13562509,2274.45698824,2445.23617769
exp,47,2113.13607827,2267.71905127,2429.2612751
exp,48,2209.4008006,2369.46048541,2535.79488712
exp,49,2142.53239346,2307.57033982,2464.46582449
exp,50,2195.05534602,2351.6844021,2511.44047788
exp,51,2115.8365808,2293.67790555,2480.69574166
exp,52,2165.65264275,2338.89541459,2518.80585724
exp,53,2177.80759786,2331.57966305,2484.68994126
exp,54,2086.98661744,2254.5398053,2455.90967082
exp,55,2156.80056772,2313.00450891,2486.22366071
exp,56,2209.17533585,2385.35660824,2579.3559289
exp,57,2088.41706384,2242.88881333,2412.96746376
exp,58,2161.98159365,2343.10725275,2559.2280535
exp,59,2113.97079435,2287.75675923,2474.49114017
exp,60,2090.51668673,2240.93419463,2394.08762624
exp,61,2108.33714935,2256.49695557,2412.04308261
exp,62,2117.37611182,2281.05141215,2460.16785079
exp,63,2208.9774645,2375.7696691,2565.31636224
exp,64,2081.57487387,2233.01223858,2387.01257484
exp,65,2177.15061157,2339.15662517,2520.08989392
exp,66,2201.90979363,2371.74972229,2554.77554301
exp,67,2123.68710303,2273.0175882,2450.22989634
exp,68,2098.06126048,2247.84633504,2416.69341469
exp,69,2058.36217022,2220.2444508,2400.68179925
exp,70,2030.34724194,2182.49997475,2355.61053874
exp,71,2176.19877625,2337.34800499,2520.86687873
exp,72,2182.27407467,2345.03165007,2527.65587633
exp,73,1998.23408951,2136.43875997,2294.26151383
exp,74,2208.39127838,2408.82463537,2615.2049998
exp,75,2205.56145319,2369.45027458,2556.3054442
exp,76,2197.11477239,2354.20474202,2539.50816311
exp,77,2040.90283511,2198.52187273,2369.7114368
exp,78,2357.60632082,2519.26600418,2715.38134548
exp,79,2118.48976117,2273.34014706,2462.02331581
exp,80,2080.97787861,2233.47074644,2401.51866748
exp,81,2064.09671438,2213.28133752,2372.63706403
exp,82,2120.04180657,2281.78653128,2460.67618434
exp,83,2152.02045245,2310.4895933,2477.35849125
exp,84,2053.8692369,2188.34622301,2348.02383386
exp,85,2235.10877764,2403.99639743,2594.95844252
exp,86,2010.01193632,2172.04444164,2346.69708971
exp,87,2194.22640259,2376.83064355,2583.13902584
exp,88,2058.31392409,2200.23635723,2367.42312417
exp,89,2129.92679433,2293.62450676,2473.70898834
exp,90,2086.75334446,2228.31789792,2381.93766089
exp,91,2062.8088531,2223.25327592,2397.57508137
exp,92,2136.37839563,2303.80337907,2486.81583981
exp,93,2021.29900783,2153.92093708,2319.51012934
exp,94,2125.66843802,2292.42960575,2479.47534415
exp,95,2065.96868567,2230.95156137,2403.48150438
exp,96,2109.73407484,2244.58031155,2412.81644525
