,stimulus,theta,flipped,model,lower,median,upper,modtheta
160,0,180.0,flipped,bqp,28.5123455634,26.0745823411,23.9136412278,180.0
161,0,180.0,flipped,exp,2869.17449555,2609.14072212,2376.84221701,180.0
162,0,180.0,flipped,expA,2755.2099465,2405.1992945,2107.42098213,180.0
163,0,180.0,flipped,expB,3189.61146073,2833.16183524,2524.57761624,180.0
164,0,180.0,flipped,gs,722.0,722.0,722.0,180.0
165,0,180.0,flipped,hc,8.5330016996,8.33938781312,8.13162555507,180.0
166,0,180.0,flipped,oc,39.9077044761,38.8718430853,37.9015077309,180.0
167,0,180.0,flipped,th,15.8030720797,13.9548633993,12.4329247789,180.0
168,0,180.0,same,bq,24.4634269926,22.4701569616,20.577649492,180.0
169,0,180.0,same,bqp,25.7916296824,23.3406828765,21.0660898265,180.0
170,0,180.0,same,exp,2715.43158775,2497.34378427,2309.71569475,180.0
171,0,180.0,same,expA,2804.7238991,2441.61544306,2124.80810798,180.0
172,0,180.0,same,expB,2803.76493637,2528.88539212,2288.28431183,180.0
173,0,180.0,same,gs,722.0,722.0,722.0,180.0
174,0,180.0,same,hc,8.0555384624,7.88485607009,7.71704180064,180.0
175,0,180.0,same,oc,40.2989000557,39.3816857591,38.4906501978,180.0
176,0,180.0,same,th,20.3499983631,17.6573644398,15.5692210095,180.0
177,0,200.0,flipped,bq,29.6187862802,26.1610075007,23.5249068019,160.0
178,0,200.0,flipped,bqp,29.0625373413,25.0661635321,21.9759761628,160.0
179,0,200.0,flipped,exp,3086.86863933,2741.36708997,2421.42097855,160.0
180,0,200.0,flipped,expA,3546.46138714,2893.90574629,2404.15101285,160.0
181,0,200.0,flipped,expB,3034.53854135,2617.56510277,2233.35826526,160.0
182,0,200.0,flipped,gs,722.0,722.0,722.0,160.0
183,0,200.0,flipped,hc,14.1856737248,13.4770795486,12.8448775499,160.0
184,0,200.0,flipped,oc,36.3422970244,35.0386967005,33.603869666,160.0
185,0,200.0,flipped,th,15.457666823,12.9854551655,11.2560292344,160.0
186,0,200.0,same,bq,24.7830612436,21.8287975552,19.523474233,160.0
