,modtheta,flipped,model,lower,median,upper
74,80.0,flipped,exp,86.5077322127,87.9816476342,89.3582879626
75,80.0,flipped,expA,83.3058261823,85.5737037049,87.6595206695
76,80.0,flipped,expB,88.4459920856,90.3768987749,92.1012111854
77,80.0,flipped,gs,93.9502024786,99.4364679715,99.9987800693
78,80.0,flipped,hc,39.2055260462,41.3514418212,43.5194894077
79,80.0,flipped,oc,99.8744973661,99.9886286576,99.9999754513
80,80.0,flipped,th,99.8744973661,99.9886286576,99.9999754513
81,80.0,same,bq,94.853746213,95.7923564913,96.6138665287
82,80.0,same,bqp,96.1271629121,96.9421604294,97.6371542326
83,80.0,same,exp,85.9023155124,87.4059800588,88.8136506312
84,80.0,same,expA,84.4287884829,86.6343125383,88.6517912507
85,80.0,same,expB,86.0632045531,88.1635907534,90.068486355
86,80.0,same,gs,93.9502024786,99.4364679715,99.9987800693
87,80.0,same,hc,39.5028269615,41.6513918152,43.8213209093
88,80.0,same,oc,99.8744973661,99.9886286576,99.9999754513
89,80.0,same,th,99.8744973661,99.9886286576,99.9999754513
90,100.0,flipped,bq,93.1652053059,94.2426179577,95.2068685653
91,100.0,flipped,bqp,90.6967973202,91.9430037,93.0819117345
92,100.0,flipped,exp,86.0074431587,87.5062641644,88.9088340465
93,100.0,flipped,expA,82.1234033884,84.4574179584,86.6149027014
94,100.0,flipped,expB,88.628913776,90.5486588181,92.2603097837
95,100.0,flipped,gs,93.9502024786,99.4364679715,99.9987800693
96,100.0,flipped,hc,29.1977961769,31.2031337686,33.2565719861
97,100.0,flipped,oc,99.8744973661,99.9886286576,99.9999754513
98,100.0,flipped,th,99.8744973661,99.9886286576,99.9999754513
99,100.0,same,bq,93.1111329701,94.192626364,95.1610850021
100,100.0,same,bqp,95.9040192673,96.7421947511,97.4608694809
101,100.0,same,exp,84.4644387567,86.0300218764,87.5033246236
102,100.0,same,expA,83.9429587004,86.1741033481,88.2201184151
103,100.0,same,expB,83.6242275349,85.8739035328,87.9399844053
104,100.0,same,gs,93.9502024786,99.4364679715,99.9987800693
105,100.0,same,hc,29.2468372387,31.2531254333,33.3073863334
106,100.0,same,oc,99.8744973661,99.9886286576,99.9999754513
107,100.0,same,th,99.8744973661,99.9886286576,99.9999754513
108,120.0,flipped,bq,91.177058711,92.3929283452,93.5003513528
